flight_issues.flightnum,flight_issues.num_delays,flight_issues.avg_delay,flight_issues.total_delay,flight_issues.num_cancellations
647,1994,34.84353059177533,69478,58
438,2031,33.969473165928115,68992,45
579,2021,32.56358238495794,65811,57
1138,1902,34.069926393270244,64801,89
268,1952,32.970799180327866,64359,36
439,1949,32.75320677270395,63836,45
780,2019,31.512630014858843,63624,30
197,2025,31.11753086419753,63013,42
576,1976,31.686234817813766,62612,42
347,2076,30.02456647398844,62331,74
1406,2062,30.220659553831233,62315,41
66,1905,32.568503937007875,62043,66
217,1949,31.604412519240636,61597,25
349,1843,33.348345089527946,61461,70
753,2155,28.499767981438517,61417,56
574,2212,26.842224231464737,59375,61
709,1993,29.666833918715504,59126,29
454,2037,28.87481590574374,58818,68
532,2020,28.90891089108911,58396,63
530,2201,26.212630622444344,57694,89
301,1973,29.232640648758235,57676,76
353,1619,35.14021000617665,56892,79
775,1478,38.09201623815967,56300,60
538,1560,35.97371794871795,56119,70
259,1861,29.925846319183236,55692,29
106,1514,36.721928665785995,55597,28
1447,1567,35.40778557753669,55484,50
370,2100,26.272380952380953,55172,64
607,1480,36.62094594594595,54199,49
894,1741,31.07007466973004,54093,36
474,1900,27.86,52934,62
64,2053,25.77447637603507,52915,105
277,2128,24.847744360902254,52876,48
62,1734,30.297001153402537,52535,55
441,1699,30.887580929958798,52478,43
341,1796,29.214365256124722,52469,44
234,2115,24.75224586288416,52351,60
863,1285,40.592996108949414,52162,44
1057,1476,35.2920054200542,52091,40
61,1457,35.73232669869595,52062,137
437,1732,30.037528868360276,52025,51
161,1451,35.84700206753963,52014,20
101,2025,25.646913580246913,51935,38
625,1849,28.047052460789615,51859,63
601,1873,27.45595301655099,51425,67
134,1711,30.024547048509643,51372,47
1116,1559,32.93200769724182,51341,50
31,1715,29.737609329446062,51000,99
455,1479,34.44827586206897,50949,59
1201,1499,33.73915943962642,50575,30
363,1674,30.134408602150536,50445,37
856,1622,31.016646115906287,50309,37
558,1995,25.16140350877193,50197,57
608,1704,29.433685446009388,50155,61
783,1741,28.794371051120045,50131,32
547,1650,30.374545454545455,50118,58
539,1789,27.8993851313583,49912,74
488,1784,27.972533632286996,49903,55
596,1688,29.546800947867297,49875,41
216,1717,29.027955736750144,49841,63
46,1667,29.845830833833233,49753,39
485,1746,28.421534936998853,49624,55
7,1743,28.304647160068846,49335,43
624,1669,29.521270221689633,49271,35
1569,1535,32.08599348534202,49252,46
540,1771,27.778091473743647,49195,112
776,1663,29.578472639807575,49189,34
250,1800,27.29722222222222,49135,41
112,1605,30.59252336448598,49101,21
525,1685,28.960830860534124,48799,44
1206,1566,30.99169859514687,48533,48
721,1525,31.808524590163934,48508,44
231,2063,23.409112942317012,48293,57
551,1757,27.483779169038133,48289,40
29,1471,32.732834806254246,48150,92
362,1513,31.76140118968936,48055,47
391,1792,26.733258928571427,47906,78
1165,1404,34.00783475783476,47747,39
1276,1844,25.84761388286334,47663,53
543,1283,37.084177708495716,47579,47
508,1775,26.781971830985917,47538,48
526,1898,25.027924130663855,47503,41
188,1739,27.232317423806787,47357,29
750,1279,36.98436278342455,47303,47
472,1829,25.85784581738655,47294,40
49,1697,27.830878020035357,47229,56
548,2011,23.45897563401293,47176,37
1157,1495,31.553177257525082,47172,42
227,1570,30.042675159235667,47167,58
67,1752,26.90810502283105,47143,45
276,1862,25.298066595059076,47105,58
425,1593,29.56873822975518,47103,35
346,1513,31.122273628552545,47088,40
634,1636,28.776894865525673,47079,38
278,1446,32.55739972337483,47078,23
260,1579,29.81443951868271,47077,24
544,1714,27.438739789964995,47030,48
605,1842,25.46796959826276,46912,54
545,1401,33.29978586723769,46653,48
1204,1492,31.238605898123325,46608,55
246,1417,32.87438249823571,46583,23
1297,1401,33.22198429693076,46544,38
109,1547,30.017453135100194,46437,39
687,1388,33.44884726224784,46427,38
1170,1445,32.121107266435985,46415,84
467,1683,27.569221628045156,46399,71
461,1522,30.469119579500656,46374,21
205,1423,32.58046380885453,46362,32
352,1299,35.670515781370284,46336,83
505,1671,27.690604428485937,46271,57
524,1791,25.81574539363484,46236,61
399,1658,27.845597104945718,46168,53
397,1670,27.632335329341316,46146,54
640,1475,31.272542372881357,46127,24
1151,1576,29.260786802030456,46115,26
1208,1205,38.13278008298755,45950,58
1109,1269,36.17966903073286,45912,52
345,1479,30.995943204868155,45843,68
58,1774,25.834836527621196,45831,37
1171,1430,31.933566433566433,45665,39
294,1588,28.74685138539043,45650,35
110,1666,27.400360144057622,45649,41
359,1808,25.22345132743363,45604,37
1023,1685,27.05519287833828,45588,81
333,1550,29.39548387096774,45563,40
725,1359,33.5018395879323,45529,33
308,1834,24.820065430752454,45520,35
3,1765,25.769971671388102,45484,56
331,1238,36.68497576736672,45416,36
337,1421,31.92118226600985,45360,62
43,1472,30.746603260869566,45259,49
202,1621,27.88278840222085,45198,46
342,1494,30.208165997322624,45131,35
45,1575,28.645079365079365,45116,34
102,1713,26.19089316987741,44865,40
631,1764,25.421201814058957,44843,39
1229,1687,26.57498518079431,44832,26
685,1342,33.31296572280179,44706,37
65,1629,27.43953345610804,44699,71
1155,1213,36.8161582852432,44658,59
1061,1342,33.253353204172875,44626,40
577,1103,40.45784224841342,44625,20
199,1574,28.33418043202033,44598,37
1173,1271,35.044846577498035,44542,41
1891,1247,35.67040898155573,44481,53
228,1581,28.079063883617962,44393,43
336,1456,30.478708791208792,44377,38
47,1496,29.64572192513369,44350,32
728,1476,29.976287262872628,44245,60
417,1731,25.464471403812826,44079,33
378,1626,27.055965559655597,43993,46
468,1487,29.568930733019503,43969,40
453,1358,32.337260677466865,43914,45
794,1853,23.698327037236915,43913,54
414,1487,29.531271015467382,43913,37
426,1523,28.82403151674327,43899,49
418,1941,22.59969088098918,43866,51
263,1315,33.35589353612167,43863,19
993,1372,31.96865889212828,43861,45
410,1966,22.292472024415055,43827,35
325,1353,32.37915742793792,43809,58
660,1427,30.618079887876664,43692,58
340,1498,29.164886515353807,43689,58
206,1846,23.612676056338028,43589,29
210,1703,25.59013505578391,43580,25
185,1416,30.7725988700565,43574,21
528,1781,24.457046603032005,43558,45
881,1614,26.85192069392813,43339,58
146,1364,31.676686217008797,43207,37
271,1388,31.10158501440922,43169,19
627,1474,29.215739484396202,43064,53
376,1394,30.829985652797703,42977,40
575,1420,30.25492957746479,42962,21
233,1560,27.539102564102564,42961,27
1448,1495,28.730434782608697,42952,40
617,1473,29.14867617107943,42936,45
703,1698,25.271495877502943,42911,29
332,1589,26.93643801132788,42802,44
373,1374,31.134643377001456,42779,53
1289,1141,37.45486415425066,42736,26
435,1406,30.38193456614509,42717,60
20,1754,24.344925883694412,42701,56
284,1470,29.02312925170068,42664,43
35,1676,25.42422434367542,42611,57
1175,1275,33.37803921568627,42557,95
2020,1504,28.295212765957448,42556,23
42,1483,28.645987862440997,42482,82
555,1414,30.004950495049506,42427,44
21,1585,26.72807570977918,42364,48
111,1559,27.173829377806285,42364,30
1619,1411,29.993621545003542,42321,37
285,1663,25.43535778713169,42299,38
269,1645,25.71063829787234,42294,45
559,1832,23.08515283842795,42292,79
302,1529,27.627207325049053,42242,53
212,1590,26.459119496855347,42070,19
684,1589,26.406544996853366,41960,59
1127,1400,29.943571428571428,41921,31
859,1305,32.11494252873563,41910,42
99,1245,33.63534136546185,41876,24
711,1374,30.453420669577874,41843,18
507,1498,27.914552736982643,41816,42
158,1723,24.2460824143935,41776,25
791,1205,34.66804979253112,41775,29
159,1394,29.931850789096128,41725,28
594,1539,27.06367771280052,41651,32
5,1445,28.808304498269898,41628,24
831,1455,28.58900343642612,41597,52
519,1230,33.78373983739837,41554,67
1210,1452,28.548898071625345,41453,54
1194,1374,30.163755458515283,41445,26
580,1684,24.58016627078385,41393,49
697,1339,30.85362210604929,41313,37
355,1592,25.946608040201006,41307,39
952,1405,29.31103202846975,41182,47
736,1422,28.951476793248943,41169,36
153,1401,29.30692362598144,41059,25
761,1329,30.861550037622273,41015,14
360,1548,26.492248062015506,41010,80
751,1514,27.070673712021136,40985,29
935,1440,28.45277777777778,40972,47
30,1550,26.39032258064516,40905,77
390,1345,30.407434944237917,40898,44
871,1319,30.99696739954511,40885,45
689,1085,37.67373271889401,40876,41
1260,1418,28.803244005641748,40843,58
251,1597,25.556042579837193,40813,25
44,1611,25.297330850403476,40754,77
416,1191,34.21578505457599,40751,50
695,1252,32.52476038338658,40721,38
756,1434,28.35355648535565,40659,29
639,1433,28.355896720167483,40634,36
621,1433,28.34752267969295,40622,70
623,1462,27.761285909712722,40587,43
81,1599,25.363977485928704,40557,45
604,1347,30.102449888641427,40548,46
1221,1450,27.947586206896553,40524,27
238,1665,24.315315315315317,40485,45
515,1244,32.540192926045016,40480,22
706,1671,24.210652304009574,40456,62
782,1273,31.75333857030636,40422,22
732,1481,27.21269412559082,40302,35
372,1500,26.856,40284,50
232,1418,28.40761636107193,40282,23
